"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"1038-009453","009453","Dévény utca","47.415224","19.022189","","","0","","","","2","",""
"1038-009454","009454","Wesselényi utca","47.415917","19.026059","","","0","","","","2","",""
"1038-009455","009455","Ostor utca","47.416544","19.029864","","","0","","","","1","",""
"1038-009456","009456","Római utca","47.41793","19.017589","","","0","","","","2","",""
"1038-009457","009457","Római utca","47.417175","19.018319","","","0","","","","2","",""
"1038-009458","009458","Hűség utca","47.421208","19.013469","","","0","","","","1","",""
"1038-009459","009459","Hűség utca","47.420529","19.014023","","","0","","","","2","",""
"1038-009460","009460","Komáromi út","47.424593","19.010866","","","0","","","","2","",""
"1038-009461","009461","Komáromi út","47.424032","19.011122","","","0","","","","1","",""
"1038-009462","009462","Tanító utca","47.435283","19.008714","","","0","","","","1","",""
"1038-009463","009463","Tanító utca","47.435274","19.009762","","","0","","","","2","",""
"1038-009465","009465","Plébánia utca","47.42973","19.032298","","","0","","","","2","",""
"1038-009466","009466","Plébánia utca","47.429631","19.032245","","","0","","","","1","",""
"1038-009467","009467","Galamb utca","47.432734","19.02852","","","0","","","","1","",""
"1038-009468","009468","Galamb utca","47.432671","19.028467","","","0","","","","1","",""
"1038-009469","009469","Alkotmány utca","47.433444","19.025921","","","0","","","","1","",""
"1038-009470","009470","Alkotmány utca","47.433354","19.025948","","","0","","","","1","",""
"1038-009471","009471","Széchenyi utca","47.418185","19.032578","","","0","","","","2","",""
"1038-009472","009472","Promontor utca","47.418055","19.027015","","","0","","","","1","",""
"1038-009473","009473","Széchenyi utca","47.418464","19.032657","","","0","","","","2","",""
"1038-009474","009474","Komló utca","47.421339","19.035137","","","0","","","","2","",""
"1038-009475","009475","Méhész utca","47.438572","19.034695","","","0","","","","2","",""
"1038-009480","009480","Margó Tivadar utca","47.433274","19.177803","","","0","","","","1","",""
"1038-009481","009481","Kerékgyártó utca","47.521341","19.105562","","","0","","","","1","",""
"1038-009482","009482","Kucorgó tér","47.469059","19.295984","","","0","","","","2","",""
"1038-009483","009483","Rákoscsaba vasútállomás","47.491097","19.281623","","","0","","","","1","",""
"1038-009484","009484","Tura utca","47.4892","19.276864","","","0","","","","1","",""
"1038-009485","009485","Rákoscsaba-Újtelep vasútállomás","47.488137","19.27329","","","0","","","","1","",""
"1038-009486","009486","II. utca","47.48629","19.265546","","","0","","","","2","",""
"1038-009487","009487","Rákosliget vasútállomás","47.486311","19.259071","","","0","","","","1","",""
"1038-009491","009491","Füstifecske utca","47.478911","19.236966","","","0","","","","1","",""
"1038-009492","009492","Füstifecske utca","47.478776","19.237124","","","0","","","","1","",""
"1038-009493","009493","Uszoda","47.479619","19.232975","","","0","","","","1","",""
"1038-009494","009494","Újlak utca, lakótelep","47.482307","19.233674","","","0","","","","1","",""
"1038-009495","009495","Rákospatak utca","47.531435","19.10066","","","0","","","","1","",""
"1038-009498","009498","Csertő utca","47.511043","19.146053","","","0","","","","1","",""
"1038-009499","009499","Csertő utca","47.511465","19.147169","","","0","","","","1","",""
"1038-009500","009500","Körvasút sor","47.513665","19.15109","","","0","","","","1","",""
"1038-009501","009501","Körvasút sor","47.51459","19.152804","","","0","","","","1","",""
"1038-009503","009503","Kovácsi Kálmán tér","47.573138","19.121088","","","0","","","","1","",""
"1038-009504","009504","Kovácsi Kálmán tér","47.573309","19.121115","","","0","","","","1","",""
"1038-009508","009508","Orló utca","47.51828","19.007492","","","0","","","","1","",""
"1038-009509","009509","Orló utca","47.518145","19.007399","","","0","","","","1","",""
"1038-009510","009510","Gábor Áron utca / Pasaréti út","47.516184","19.004033","","","0","","","","1","",""
"1038-009511","009511","Gábor Áron utca / Pasaréti út","47.516355","19.003967","","","0","","","","1","",""
"1038-009512","009512","Endrődi Sándor utca","47.521143","19.011996","","","0","","","","1","",""
"1038-009513","009513","Bimbó út / Gábor Áron utca","47.519342","19.008978","","","0","","","","1","",""
"1038-009514","009514","Bimbó út / Gábor Áron utca","47.519964","19.010576","","","0","","","","1","",""
"1038-009515","009515","Rákospalota-Újpest vasútállomás","47.566389","19.111644","","","0","","","","1","",""
"1038-009516","009516","Rákospalota-Újpest vasútállomás","47.566191","19.111737","","","0","","","","1","",""
"1038-009520","009520","Csörsz utca","47.490152","19.023509","","","0","","","","1","",""
"1038-009521","009521","Csörsz utca","47.490008","19.023668","","","0","","","","1","",""
"1038-009522","009522","MOM Kulturális Központ","47.490528","19.018519","","","0","","","","1","",""
"1038-009524","009524","Albertfalva vasútállomás","47.441881","19.032202","","","0","","","","2","",""
"1038-009534","009534","Xiii. utca / Dózsa György út","47.411163","18.993654","","","0","","","","2","",""
"1038-009536","009536","Káposztásmegyer, Mogyoródi-patak","47.59869","19.121323","","","0","","","","2","",""
"1038-009537","009537","Március 15. tér","47.491564","19.051333","","","0","","","","1","",""
"1038-009538","009538","Irány utca","47.540469","19.109767","","","0","","","","1","",""
"1038-009539","009539","Boglár utca","47.594701","19.060994","","","0","","","","1","",""
"1038-009540","009540","Szilágyi Erzsébet fasor","47.515203","19.002149","","","0","","","","1","",""
"1038-009541","009541","Ady Endre út","47.436278","19.035478","","","0","","","","1","",""
"1038-009543","009543","513. utca","47.484291","19.230112","","","0","","","","1","",""
"1038-009544","009544","Robogó utca","47.487235","19.270088","","","0","","","","1","",""
"1038-009546","009546","Memento Park","47.425566","19.001432","","","0","","","","1","",""
"1038-009547","009547","Rákospalota, MÁV-telep","47.541488","19.121417","","","0","","","","2","",""
"1038-009548","009548","Tatárka utca","47.433883","19.021083","","","0","","","","1","",""
"1038-009549","009549","Madárdomb köz","47.478076","19.241208","","","0","","","","1","",""
"1038-009550","009550","Madárdomb köz","47.477987","19.241128","","","0","","","","1","",""
"1038-009551","009551","Margó Tivadar utca","47.433123","19.176437","","","0","","","","1","",""
"1038-009554","009554","Óbuda, Bogdáni út","47.550028","19.041176","","","0","","","","1","",""
"1038-009555","009555","Szilágyi utca","47.570571","19.112699","","","0","","","","1","",""
"1038-009557","009557","Vécsey Károly utca / Nádor utca","47.571892","19.096021","","","0","","","","1","",""
"1038-009558","009558","Szent János Kórház","47.509962","19.009919","","","0","","","","1","",""
"1038-009563","009563","Mészkő utca","47.579213","19.034844","","","0","","","","1","",""
"1038-009564","009564","Mészkő utca","47.579051","19.034127","","","0","","","","1","",""
"1038-009566","009566","Soroksár, Auchan áruház","47.417213","19.158245","","","0","","","","1","",""
"1038-009568","009568","Sósmocsár út","47.414805","19.134083","","","0","","","","1","",""
"1038-009569","009569","Thököly út","47.441995","19.18098","","","0","","","","1","",""
"1038-009570","009570","Újbuda-központ M","47.474163","19.04705","","","0","","","","1","",""
"1038-009572","009572","Bagaria utca","47.590199","19.083142","","","0","","","","1","",""
"1038-009573","009573","Bagaria utca","47.590307","19.083674","","","0","","","","1","",""
"1038-009574","009574","Ungvári utca","47.587474","19.082223","","","0","","","","1","",""
"1038-009575","009575","Ungvári utca","47.587313","19.08189","","","0","","","","1","",""
"1038-009576","009576","Rév utca","47.584794","19.081689","","","0","","","","2","",""
"1038-009577","009577","Savoya Park","47.436603","19.039548","","","0","","","","1","",""
"1038-009578","009578","Savoya Park","47.436656","19.039269","","","0","","","","1","",""
"1038-009581","009581","Gábor Áron utca","47.514978","19.002123","","","0","","","","1","",""
"1038-009582","009582","János tér","47.441996","19.102521","","","0","","","","1","",""
"1038-009584","009584","Békásmegyer H","47.597444","19.055543","","","0","","","","1","",""
"1038-009586","009586","Baross utca","47.43634","19.098763","","","0","","","","1","",""
"1038-009587","009587","Gogol utca","47.520447","19.05698","","","0","","","","1","",""
"1038-009588","009588","Kuruclesi út","47.518001","18.985232","","","0","","","","1","",""
"1038-009592","009592","Kőbánya-Kispest M","47.464152","19.146197","","","0","","","","1","",""
"1038-009625","009625","Szigetcsép utca","47.464407","19.312701","","","0","","","","1","",""
"1038-009629","009629","Batthyány tér M+H","47.505588","19.039284","","","0","","","","1","",""
"1038-009630","009630","Budakalász, Auchan áruház","47.61151","19.062341","","","0","1038-008822","","","1","",""
"1038-009631","009631","Gergely utca 80.","47.474051","19.144354","","","0","","","","1","",""
"1038-009632","009632","Nagykőrösi út / Határ út","47.456394","19.114274","","","0","","","","2","",""
"1038-009652","009652","Széchenyi út","47.545721","19.112403","","","0","","","","1","",""
"1038-009659","009659","Mélyfúró utca","47.577512","19.129774","","","0","","","","1","",""
"1038-009667","009667","Újbuda-központ M","47.474064","19.048204","","","0","","","","1","",""
"1038-009675","009675","Clark Ádám tér","47.497665","19.041541","","","0","","","","1","",""
"1038-009676","009676","Clark Ádám tér","47.497359","19.041594","","","0","","","","1","",""
"1038-009684","009684","Rákoskeresztúr, városközpont","47.478941","19.256176","","","0","","","","1","",""
